HerdCode,HerdName,ScorerName,ScoreDate,Creation Date,CalfID,BirthDate,Calf Age,BodyTemp,BodyWeight,Appetite,Attitude,Nose,Eye,Ear,Cough,Temperature,TotalRespiratoryScore,UltraSound,UltraSoundComment,UScategory,Fecal,Navel,Joint,CalfComment,trtScoreRS,trtScoreNRS,RScategory,BRDCategory,Recheck,trtScore,,
12345678,Skyview ,Destiny,8/8/2024,8/8/2024 9:38,1,8/7/2024,1,100.5,,0,0,0,0,0,0,0,0,,,,2,2,0,,0,4,Diarrhea_Navel,,,Treatable,,
12345678,Skyview,Kenson,8/9/2024,8/9/2024 9:14,1,8/7/2024,2,101.7,,0,0,0,0,0,0,1,1,,,,0,1,0,,0,0,NoDisease,,,,,
12345678,Skyview,Kenson,8/10/2024,8/10/2024 8:48,1,8/7/2024,3,100.7,,0,0,0,0,0,0,0,0,,,,0,1,0,,0,0,NoDisease,,,,,
12345678,Skyview ,Destiny,8/8/2024,8/8/2024 9:38,2,8/7/2024,1,100.8,,0,0,0,0,0,0,0,0,,,,1,0,0,,0,0,NoDisease,,,,,
12345678,Skyview,Kenson,8/9/2024,8/9/2024 9:13,2,8/7/2024,2,101.9,,0,0,0,0,0,0,1,1,,,,0,1,0,,0,0,NoDisease,,,,,
12345678,Skyview,Kenson,8/10/2024,8/10/2024 8:45,2,8/7/2024,3,101.5,,0,0,0,0,0,0,1,1,,,,0,0,0,,0,0,NoDisease,,,,,
12345678,Skyview ,Destiny,8/7/2024,8/7/2024 6:39,3,8/6/2024,1,101,,0,0,0,0,0,0,1,1,,,,1,0,0,,0,0,NoDisease,,,,,
12345678,Skyview ,Destiny,8/8/2024,8/8/2024 9:37,3,8/6/2024,2,102.5,,0,0,0,0,0,0,2,2,,,,1,1,0,,1,0,NoDisease,,Recheck,,,
12345678,Skyview,Kenson,8/9/2024,8/9/2024 9:20,3,8/6/2024,3,101.2,,0,0,0,0,0,0,1,1,,,,0,1,0,,0,0,NoDisease,,,,,
12345678,Skyview ,Destiny,8/6/2024,8/6/2024 9:13,4,8/5/2024,1,100.7,,1,0,0,0,0,0,0,0,,,,1,0,0,,0,0,NoDisease,,,,,
12345678,Skyview ,Destiny,8/7/2024,8/7/2024 6:37,4,8/5/2024,2,101.2,,0,0,0,0,0,0,1,1,,,,1,0,0,,0,0,NoDisease,,,,,
12345678,Skyview ,Destiny,8/8/2024,8/8/2024 9:37,4,8/5/2024,3,100.4,,0,0,0,0,0,0,0,0,,,,1,0,0,,0,0,NoDisease,,,,,
12345678,Skyview ,Destiny,8/6/2024,8/6/2024 9:13,5,8/5/2024,1,101,,0,0,0,0,0,0,1,1,,,,1,0,0,,0,0,NoDisease,,,,,
12345678,Skyview ,Destiny,8/7/2024,8/7/2024 6:37,5,8/5/2024,2,102.1,,0,0,0,0,0,0,2,2,,,,1,0,0,,1,0,NoDisease,,Recheck,,,
12345678,Skyview ,Destiny,8/8/2024,8/8/2024 9:36,5,8/5/2024,3,102.3,,0,0,0,0,0,0,2,2,,,,1,0,0,,1,0,NoDisease,,Recheck,,,
12345678,Skyview ,Destiny,8/6/2024,8/6/2024 9:13,6,8/5/2024,1,100.8,,1,0,0,0,0,0,0,0,,,,1,1,0,,0,0,NoDisease,,,,,
12345678,Skyview ,Destiny,8/7/2024,8/7/2024 6:37,6,8/5/2024,2,102,,0,0,0,0,0,0,2,2,,,,1,1,0,,1,0,NoDisease,,Recheck,,,
12345678,Skyview ,Destiny,8/8/2024,8/8/2024 9:36,6,8/5/2024,3,101.5,,0,0,0,0,0,0,1,1,,,,1,1,0,,0,0,NoDisease,,,,,
12345678,Skyview ,Destiny ,8/3/2024,8/3/2024 10:16,7,8/2/2024,1,100.8,,0,0,0,0,0,0,0,0,,,,1,0,0,,0,0,NoDisease,,,,,
12345678,Skyview ,Destiny ,8/4/2024,8/4/2024 10:00,7,8/2/2024,2,102.3,,0,0,0,0,0,0,2,2,,,,1,1,0,,1,0,NoDisease,,Recheck,,,
12345678,Skyview ,Bela,8/5/2024,8/5/2024 7:06,7,8/2/2024,3,102,,0,0,0,0,0,0,2,2,,,,1,1,0,,1,0,NoDisease,,Recheck,,,
12345678,Skyview ,Destiny ,8/3/2024,8/3/2024 10:13,8,8/2/2024,1,100.8,,0,0,0,0,0,0,0,0,,,,1,0,0,,0,0,NoDisease,,,,,
12345678,Skyview ,Destiny ,8/4/2024,8/4/2024 10:00,8,8/2/2024,2,101.3,,0,0,0,0,0,0,1,1,,,,1,0,0,,0,0,NoDisease,,,,,
12345678,Skyview ,Bela,8/5/2024,8/5/2024 7:03,8,8/2/2024,3,101.8,,0,0,0,0,0,0,1,1,,,,1,1,0,,0,0,NoDisease,,,,,
